Line,From Fundamental Accounting Concept,Type of Relation (Arcrole),To IFRS XBRL Taxonomy Concept,Try Order
1,fac:Assets,class-equivalentClass,us-gaap:Assets,1
2,fac:Assets,class-equivalentClass,us-gaap:AssetsCurrent,2
3,fac:BalanceSheetDate,class-equivalentClass,dei:DocumentPeriodEndDate,1
4,fac:BenefitsCostsExpenses,class-equivalentClass,us-gaap:BenefitsLossesAndExpenses,1
5,fac:CommitmentsAndContingencies,class-equivalentClass,us-gaap:CommitmentsAndContingencies,1
6,fac:ComprehensiveIncomeLoss,class-equivalentClass,us-gaap:ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1
7,fac:ComprehensiveIncomeLossAttributableToNoncontrollingInterest,class-equivalentClass,us-gaap:ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,1
8,fac:ComprehensiveIncomeLossAttributableToParent,class-equivalentClass,us-gaap:ComprehensiveIncomeNetOfTax,1
9,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfRevenue,1
10,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfGoodsAndServicesSold,2
11,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfServices,3
12,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfGoodsSold,4
13,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,5
14,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfGoodsSoldElectric,6
15,fac:CostOfRevenue,class-equivalentClass,us-gaap:DirectOperatingCosts,7
16,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfGoodsSoldOilAndGas,8
17,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfGoodsSoldElectric,9
18,fac:CostOfRevenue,class-equivalentClass,us-gaap:FinancialServicesCosts,10
19,fac:CostOfRevenue,class-equivalentClass,us-gaap:ContractRevenueCost,11
20,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfRealEstateRevenue,12
21,fac:CostOfRevenue,class-equivalentClass,us-gaap:RefiningAndMarketingCosts,13
22,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfNaturalGasPurchases,14
23,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfGoldProductsAndServices,15
24,fac:CostOfRevenue,class-equivalentClass,us-gaap:CostOfRealEstateSales,16
